Op = 0000, a = 00000101, b= 00000010, result = 0000000000000000 
Op = 0001, a = 00000111, b= 00000011, result = 0000000000000111 
Op = 0010, a = 00100111, b= 10000011, result = 0000000010100100 
Op = 0011, a = 00110111, b= 10010011, result = 1111111111001000 
Op = 0100, a = 10000011, b= 10000011, result = 1111111111111111 
Op = 0101, a = 11000001, b= 10000011, result = 1111111111111111 
Op = 0110, a = 11000111, b= 01010011, result = 0000000000000000 
Op = 1000, a = 01010011, b= 01110011, result = 0000000011000110 
Op = 1001, a = 01101110, b= 00100111, result = 0000000001000111 
Op = 1010, a = 10001010, b= 00010101, result = 0000000000000110 
Op = 1011, a = 10100100, b= 00000011, result = 0000000111101100 
